# Likhi roman -> bengali overrides
# Format: roman<TAB>bengali  (roman lowercased at load; one pair per line)
# Generated from the user 500-word dictionary. Order = candidate order
# for a roman key with several spellings (first line ranks first).
# Rebuild: python tools/corpus_builder/build_lexicon.py

ami	আমি
tumi	তুমি
bhalo	ভালো
valo	ভালো
shundor	সুন্দর
bangla	বাংলা
computer	কম্পিউটার
internet	ইন্টারনেট
mobile	মোবাইল
brohmoputro	ব্রহ্মপুত্র
antorjatik	আন্তর্জাতিক
biggopti	বিজ্ঞপ্তি
attiyo	আত্মীয়
utkrishto	উৎকৃষ্ট
brishti	বৃষ্টি
smriti	স্মৃতি
akangkha	আকাঙ্ক্ষা
dondwo	দ্বন্দ্ব
tottwo	তত্ত্ব
shringkhola	শৃঙ্খলা
ujjwol	উজ্জ্বল
chottogram	চট্টগ্রাম
shasthyo	স্বাস্থ্য
kache	কাছে
pc	পিসি
tv	টিভি
radio	রেডিও
laptop	ল্যাপটপ
desktop	ডেস্কটপ
monitor	মনিটর
keyboard	কিবোর্ড
mouse	মাউস
printer	প্রিন্টার
scanner	স্ক্যানার
camera	ক্যামেরা
charger	চার্জার
battery	ব্যাটারি
online	অনলাইন
offline	অফলাইন
website	ওয়েবসাইট
browser	ব্রাউজার
google	গুগল
youtube	ইউটিউব
facebook	ফেসবুক
messenger	মেসেঞ্জার
whatsapp	হোয়াটসঅ্যাপ
email	ইমেইল
gmail	জিমেইল
password	পাসওয়ার্ড
username	ইউজারনেম
account	অ্যাকাউন্ট
profile	প্রোফাইল
photo	ফটো
video	ভিডিও
audio	অডিও
music	মিউজিক
movie	মুভি
film	ফিল্ম
cinema	সিনেমা
drama	ড্রামা
serial	সিরিয়াল
program	প্রোগ্রাম
software	সফটওয়্যার
hardware	হার্ডওয়্যার
app	অ্যাপ
application	অ্যাপ্লিকেশন
file	ফাইল
folder	ফোল্ডার
document	ডকুমেন্ট
download	ডাউনলোড
upload	আপলোড
update	আপডেট
install	ইনস্টল
uninstall	আনইনস্টল
setup	সেটআপ
system	সিস্টেম
server	সার্ভার
network	নেটওয়ার্ক
wifi	ওয়াইফাই
bluetooth	ব্লুটুথ
signal	সিগন্যাল
message	মেসেজ
chat	চ্যাট
call	কল
videocall	ভিডিও কল
contact	কনট্যাক্ট
number	নাম্বার
code	কোড
link	লিংক
search	সার্চ
login	লগইন
logout	লগআউট
menu	মেনু
option	অপশন
setting	সেটিং
settings	সেটিংস
button	বাটন
screen	স্ক্রিন
display	ডিসপ্লে
touch	টাচ
smart	স্মার্ট
digital	ডিজিটাল
technology	টেকনোলজি
technical	টেকনিক্যাল
data	ডাটা
information	ইনফরমেশন
device	ডিভাইস
machine	মেশিন
robot	রোবট
electric	ইলেকট্রিক
electronic	ইলেকট্রনিক
tablet	ট্যাবলেট
speaker	স্পিকার
microphone	মাইক্রোফোন
headphone	হেডফোন
coffee	কফি
tea	টি
hotel	হোটেল
restaurant	রেস্টুরেন্ট
burger	বার্গার
pizza	পিজ্জা
sandwich	স্যান্ডউইচ
biscuit	বিস্কুট
chocolate	চকলেট
cake	কেক
cream	ক্রিম
butter	বাটার
cheese	চিজ
milk	মিল্ক
juice	জুস
soup	স্যুপ
salad	সালাদ
sauce	সস
ketchup	কেচাপ
banana	বানানা
apple	অ্যাপল
orange	অরেঞ্জ
mango	ম্যাঙ্গো
lemon	লেমন
coconut	কোকোনাট
tomato	টমেটো
potato	পটেটো
icecream	আইসক্রিম
doctor	ডাক্তার
nurse	নার্স
hospital	হাসপাতাল
clinic	ক্লিনিক
medicine	মেডিসিন
vitamin	ভিটামিন
injection	ইনজেকশন
patient	পেশেন্ট
ambulance	অ্যাম্বুলেন্স
school	স্কুল
college	কলেজ
university	ইউনিভার্সিটি
campus	ক্যাম্পাস
teacher	টিচার
student	স্টুডেন্ট
class	ক্লাস
exam	এক্সাম
test	টেস্ট
result	রেজাল্ট
subject	সাবজেক্ট
course	কোর্স
degree	ডিগ্রি
certificate	সার্টিফিকেট
office	অফিস
manager	ম্যানেজার
boss	বস
staff	স্টাফ
worker	ওয়ার্কার
company	কোম্পানি
business	বিজনেস
market	মার্কেট
shop	শপ
customer	কাস্টমার
service	সার্ভিস
product	প্রোডাক্ট
project	প্রজেক্ট
meeting	মিটিং
report	রিপোর্ট
paper	পেপার
director	ডিরেক্টর
owner	ওনার
partner	পার্টনার
factory	ফ্যাক্টরি
industry	ইন্ডাস্ট্রি
bank	ব্যাংক
cash	ক্যাশ
money	মানি
dollar	ডলার
euro	ইউরো
ticket	টিকিট
card	কার্ড
credit	ক্রেডিট
debit	ডেবিট
payment	পেমেন্ট
mobilebanking	মোবাইল ব্যাংকিং
balance	ব্যালেন্স
transaction	ট্রানজেকশন
offer	অফার
discount	ডিসকাউন্ট
price	প্রাইস
cost	কস্ট
bill	বিল
bus	বাস
car	কার
train	ট্রেন
plane	প্লেন
airplane	এয়ারপ্লেন
airport	এয়ারপোর্ট
station	স্টেশন
taxi	ট্যাক্সি
rickshaw	রিকশা
bicycle	বাইসাইকেল
motorcycle	মোটরসাইকেল
bike	বাইক
truck	ট্রাক
driver	ড্রাইভার
passenger	প্যাসেঞ্জার
road	রোড
bridge	ব্রিজ
traffic	ট্রাফিক
parking	পার্কিং
room	রুম
lobby	লবি
reception	রিসেপশন
booking	বুকিং
reservation	রিজার্ভেশন
passport	পাসপোর্ট
visa	ভিসা
tourist	ট্যুরিস্ট
tour	ট্যুর
travel	ট্রাভেল
trip	ট্রিপ
guide	গাইড
map	ম্যাপ
location	লোকেশন
address	অ্যাড্রেস
center	সেন্টার
park	পার্ক
beach	বিচ
shirt	শার্ট
pant	প্যান্ট
jeans	জিন্স
jacket	জ্যাকেট
coat	কোট
dress	ড্রেস
shoe	শু
sandal	স্যান্ডেল
sock	সক্স
bag	ব্যাগ
fashion	ফ্যাশন
style	স্টাইল
design	ডিজাইন
color	কালার
size	সাইজ
brand	ব্র্যান্ড
model	মডেল
beauty	বিউটি
makeup	মেকআপ
lipstick	লিপস্টিক
shampoo	শ্যাম্পু
soap	সাবান
perfume	পারফিউম
lotion	লোশন
salon	সেলুন
parlour	পার্লার
football	ফুটবল
cricket	ক্রিকেট
tennis	টেনিস
badminton	ব্যাডমিন্টন
basketball	বাস্কেটবল
volleyball	ভলিবল
player	প্লেয়ার
team	টিম
match	ম্যাচ
game	গেম
goal	গোল
score	স্কোর
captain	ক্যাপ্টেন
coach	কোচ
stadium	স্টেডিয়াম
tournament	টুর্নামেন্ট
champion	চ্যাম্পিয়ন
winner	উইনার
loser	লুজার
bat	ব্যাট
ball	বল
wicket	উইকেট
over	ওভার
run	রান
umpire	আম্পায়ার
final	ফাইনাল
semifinal	সেমিফাইনাল
league	লিগ
club	ক্লাব
sport	স্পোর্ট
hello	হ্যালো
hi	হাই
bye	বাই
sorry	সরি
thanks	থ্যাংকস
thankyou	থ্যাংক ইউ
welcome	ওয়েলকাম
please	প্লিজ
okay	ওকে
yes	ইয়েস
no	নো
good	গুড
bad	ব্যাড
